YYYYMMDD,Generation (kWh),Income (€)
20181010,12.40,2.73
20181011,12.50,2.75
20181012,13.20,2.90
20181013,13.80,3.04
20181014,11.60,2.55
20181015,11.40,2.51
20181016,13.60,2.99
20181017,11.60,2.55
20181018,9.30,2.05
20181019,11.80,2.60
20181020,10.40,2.29
20181021,6.00,1.32
20181022,12.00,2.64
20181023,3.70,0.81
20181024,6.10,1.34
20181025,2.20,0.48
20181026,2.80,0.62
20181027,6.90,1.52
20181028,14.40,3.17
20181029,3.00,0.66
20181030,1.50,0.33
20181031,9.60,2.11
20181101,3.30,0.73
20181102,10.20,2.24
20181103,8.40,1.85
20181104,10.00,2.20
20181105,6.80,1.50
20181106,8.70,1.91
20181107,3.00,0.66
20181108,11.30,2.49
20181109,5.30,1.17
20181110,1.60,0.35
20181111,3.30,0.73
20181112,3.00,0.66
20181113,8.40,1.85
20181114,8.80,1.94
20181115,9.90,2.18
20181116,1.40,0.31
20181117,10.30,2.27
20181118,8.50,1.87
20181119,2.00,0.44
20181120,0.70,0.15
20181121,4.60,1.01
20181122,1.70,0.37
20181123,2.40,0.53
20181124,1.00,0.22
20181125,1.70,0.37
20181126,1.10,0.24
20181127,1.40,0.31
20181128,0.70,0.15
20181129,1.20,0.26
20181130,5.00,1.10
20181201,1.80,0.40
20181202,1.20,0.26
20181203,2.50,0.55
20181204,7.10,1.56
20181205,1.10,0.24
20181206,0.90,0.20
20181207,0.60,0.13
20181208,1.50,0.33
20181209,2.90,0.64
20181210,3.90,0.86
20181211,4.70,1.03
20181212,3.20,0.70
20181213,7.60,1.67
20181214,6.10,1.34
20181215,1.70,0.37
20181216,0.80,0.18
20181217,1.20,0.26
20181218,1.90,0.42
20181219,2.20,0.48
20181220,1.30,0.29
20181221,1.00,0.22
20181222,1.80,0.40
20181223,0.80,0.18
20181224,6.50,1.43
20181225,4.20,0.92
20181226,0.90,0.20
20181227,2.80,0.62
20181228,0.70,0.15
20181229,0.60,0.13
20181230,1.20,0.26
20181231,2.50,0.55
20190101,2.40,0.53
20190102,1.40,0.31
20190103,4.60,1.01
20190104,0.50,0.11
20190105,0.60,0.13
20190106,1.30,0.29
20190107,1.30,0.29
20190108,2.60,0.57
20190109,5.80,1.28
20190110,1.20,0.26
20190111,2.30,0.51
20190112,1.20,0.26
20190113,0.90,0.20
20190114,4.50,0.99
20190115,2.80,0.62
20190116,0.80,0.18
20190117,2.50,0.55
20190118,5.30,1.17
20190119,9.60,2.11
20190120,10.20,2.24
20190121,8.40,1.85
20190122,0.70,0.15
20190123,1.00,0.22
20190124,2.10,0.46
20190125,1.10,0.24
20190126,1.90,0.42
20190127,1.90,0.42
20190128,7.10,1.56
20190129,8.30,1.83
20190130,2.40,0.53
20190131,1.50,0.33
20190201,1.00,0.22
20190202,2.30,0.51
20190203,11.00,2.42
20190204,1.20,0.26
20190205,1.10,0.24
20190206,1.10,0.24
20190207,11.50,2.53
20190208,1.60,0.35
20190209,9.90,2.18
20190210,2.00,0.44
20190211,12.00,2.64
20190212,10.30,2.27
20190213,6.50,1.43
20190214,1.20,0.26
20190215,14.50,3.19
20190216,12.00,2.64
20190217,12.80,2.82
20190218,11.50,2.53
20190219,8.90,1.96
20190220,13.10,2.88
20190221,3.30,0.73
20190222,4.00,0.88
20190223,15.40,3.39
20190224,15.30,3.37
20190225,16.00,3.52
